Artist_Accession_Number,Name,DOB,DOD,Gender,Notes,File,Slides,Video(s),Resume/Vita,Artist_Statement,Gallery_Notice,Review,Article,Poster,Folio,CD-ROM,Correspondance,Library_Exhibit,,
463,"Aasgard, Christian",1922,1999,M,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,,
507,"Beekman, Jan",1929,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,,
508,"Begay, Samuel Sr.",NULL,NULL,NULL,See also Samuel Begay Jr. & Paulina Begay.,1,0,0,0,0,0,0,0,0,0,0,0,0,,
534,"Benchley, D.A.",NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,,
551,"Bennett, Susan",NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,,
622,"Browne, Barbara",NULL,NULL,F,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,,
680,"Blades, Barbara",1938,NULL,F,Water Tower Gallery - see poster Space 900 Group,1,0,0,1,0,1,0,1,1,0,0,0,0,,
685,"Blake, Hayward R.",NULL,NULL,M,Howard Blake & Company,0,0,0,0,0,0,0,0,0,0,0,0,0,,
789,"Bouyer, Simone",NULL,NULL,F,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,,
982,"Bullard, Helen",1902,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,,
988,"Buouscio, Christopher",NULL,NULL,NULL,NULL,1,0,0,0,0,0,0,0,0,0,0,0,0,,
1000,"Burke, Jo",NULL,NULL,F,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1141,"Carregal, Joan Markson",NULL,NULL,F,See Giovannella,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1415,"Conn, Laurence",NULL,NULL,M,see poster Space 900 Group,1,0,0,1,0,1,0,0,1,0,0,0,0,,
1504,"Cramer, S. Mahrea",1896,NULL,F,Mrs. Paul Lehman,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1627,"Davis, Charles Vincent",1912,NULL,M,WPA Artist; Hull House,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1722,"De Patta, Margaret",1903,1964,F,Married to Eugene Bielawski,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1757,"Diaz, Mark Alcazar",NULL,NULL,NULL,VPA Slide Collection,1,1,0,0,0,0,0,0,0,0,0,0,0,,
1917,"Dulany, Helen Hughes",NULL,NULL,F,Fl. 1930s,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1925,"Dunlop, Genevieve",NULL,NULL,F,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1937,"Dvorak, Frant.",1862,1911,NULL,World's Columbian Exposition,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1957,"Eccles, James",1885,NULL,M,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1961,"Eckland, Everett",NULL,NULL,M,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1974,"Edidin, Rita",NULL,NULL,F,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1975,"Edmondson, Fran",NULL,NULL,F,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1976,"Edwards, Maeble C. Perry",1903,NULL,F,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1979,"Egan, L.G.",NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2005,"Elkins, Henry Arthur",1847,1884,M,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2122,False Image,NULL,NULL,NULL,"Roger Brown, Christina Ramberg, Phil Hanson, and Eleanor Dube",0,0,0,0,0,0,0,0,0,0,0,0,0,,
2140,"Faulkner, John",NULL,NULL,M,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2183,"Ferris, Michael G.",NULL,NULL,M,VPA Slide Collection,1,1,0,0,0,0,0,0,0,0,0,0,0,,
2271,"Florsheim, Lillian",1896,1989,F,Born Hyman,1,0,0,0,0,0,0,0,0,0,0,0,0,,
2278,"Edelman, Judith",NULL,NULL,F,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2332,"Fox, Robert  Atkinson",1860,1935,M,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2652,"Glass, Michael",NULL,NULL,M,"Michael Glass Design, Inc.",1,0,0,0,0,0,0,1,0,0,0,0,0,,
2713,"Goldsmith, Barbara",NULL,NULL,F,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2858,"Grigsby, James",NULL,NULL,M,VPA Slide Collection,1,1,0,1,0,1,0,1,1,0,0,0,0,,
2941,"Habernal, R.",NULL,NULL,NULL,Active in the 50s & 60s,0,0,0,0,0,0,0,0,0,0,0,0,0,,
3034,"Hanson, Chris",1964,NULL,NULL,"born in Montreal, Quebec",1,0,0,0,0,0,0,0,0,0,0,0,0,,
3106,"Hauser, Marc",1952,NULL,M,NULL,1,0,0,0,0,1,0,1,1,0,0,0,0,,
3155,"Heller, Richard E.",1907,NULL,M,Surgeon,0,0,0,0,0,0,0,0,0,0,0,0,0,,
3385,"Horwich, Marcia",1943,NULL,F,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,,
3592,"Jansson, Alfred",1863,1931,M,Palette & Chisel; World's Columbian Exposition,0,0,0,0,0,0,0,0,0,0,0,0,0,,
3972,Kiesling,NULL,NULL,NULL,VPA Slide Collection,1,1,0,0,0,0,0,0,0,0,0,0,0,,
3983,"Kim, W. Jo",NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,,
4052,Kleiminger (or Klemenger),1865,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,,
4096,"Koehn, Annalee",NULL,NULL,F,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,,
4140,"Korsage, Stephanie",NULL,NULL,F,Steff,0,0,0,0,0,0,0,0,0,0,0,0,0,,
4361,"Larsen, L.",NULL,NULL,NULL,VPA Slide Collection,1,1,0,0,0,0,0,0,0,0,0,0,0,,
4548,Lillian Club (Lillian Sketch Club),NULL,NULL,NULL,A Jewish arts organization organized by Todros Geller,0,0,0,0,0,0,0,0,0,0,0,0,0,,
4614,"Loftus, M.J.",NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,,
4651,"Lowe, C. A.",NULL,NULL,NULL,VPA Slide Collection,1,1,0,0,0,0,0,0,0,0,0,0,0,,
4856,"Madigan, Martha",NULL,NULL,F,NULL,1,0,0,0,0,1,0,0,1,0,0,0,0,,
4973,Marriage Chicago Style,NULL,NULL,NULL,"Karl Wirsum, Suellen Rocca, Ed Flood, Sarah Canright, Ed Paschke, and Barbara Rossi",0,0,0,0,0,0,0,0,0,0,0,0,0,,
4989,"Martin, David Stone",1913,NULL,M,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,,
5014,"Marvin, S.",NULL,NULL,NULL,VPA Slide Collection,1,1,0,0,0,0,0,0,0,0,0,0,0,,
5281,Money as Art,NULL,NULL,NULL,"see:Boggs, J.S.G.",0,0,0,0,0,0,0,0,0,0,0,0,0,,
5450,"Nagatani, Patrick",NULL,NULL,M,NULL,1,0,0,1,0,1,0,1,1,0,0,0,0,,
5513,Neo-Arlimusc,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,,
5530,New Bauhaus,NULL,NULL,NULL,see also: Moholy-Nagy,0,0,0,0,0,0,0,0,0,0,0,0,0,,
5588,"Noerdinger, John Joseph",1895,NULL,M,WPA Artist.  Falk lists him as Jean Joseph Noerdinger,0,0,0,0,0,0,0,0,0,0,0,0,0,,
5599,Nonplussed Some,NULL,NULL,NULL,"Ed Paschke,  Sarah Canright, and Ed Flood",0,0,0,0,0,0,0,0,0,0,0,0,0,,
5605,"Nordstrom, Renee Klyczek",NULL,NULL,F,NULL,1,0,0,0,0,0,0,0,0,0,0,0,0,,
5746,"Osherman, ?",NULL,NULL,NULL,VPA Slide Collection,1,1,0,0,0,0,0,0,0,0,0,0,0,,
5820,"Pancoe, Gladys Lipschultz",1927,NULL,F,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,,
5966,"Peterson,",NULL,NULL,NULL,VPA Slide Collection,1,1,0,0,0,0,0,0,0,0,0,0,0,,
5992,"Pettersen,",NULL,NULL,NULL,VPA Slide Collection,1,1,0,0,0,0,0,0,0,0,0,0,0,,
6117,Phoenix Group,NULL,NULL,NULL,"Organized in 1996, an association of Chinese-American women artists - Felicia King, Grace Lai, Qi Joy Le, Yungying Lee, Ye Lui, Xiangbin Shi, Ruby Wang, Vivian Wang, Ling Zhou, Ping Zhu",0,0,0,0,0,0,0,0,0,0,0,0,0,,
6142,"Pilcher, Maryrose Groth",1944,NULL,F,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,,
6149,"Pines, Janet",NULL,NULL,NULL,"see: Bender, Janet Pines; ARC Gallery: December 2-31, 1983",1,0,0,0,0,0,0,0,0,0,0,0,0,,
6156,"Pinsky, Joanna",1942,NULL,F,VPA Slide Collection - poster Space 900 Group,1,1,0,0,0,1,0,1,1,0,0,0,0,,
6166,"Pitzen, Angela",NULL,NULL,NULL,NULL,1,0,0,0,0,0,0,0,0,0,0,0,0,,
6282,"Pressley-Jacobs, Wendy",NULL,NULL,F,"Pressley Jacobs Design, Inc.",1,0,0,0,0,1,0,0,0,0,0,0,0,,
6296,"Price, ?",NULL,NULL,NULL,VPA Slide Collection,1,1,0,0,0,0,0,0,0,0,0,0,0,,
6408,"Madden, W.F.",NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,,
6635,"Romero, Alejandro",1949,NULL,M,Brother of Chicago artist Oscar Romero; VPA Slide Collection,1,1,0,1,0,1,0,1,1,0,0,0,0,,
6678,"Rosiecki, J.",NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,,
6782,"Rybacek, Joseph",NULL,NULL,M,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,,
6820,"Salerno, K.",NULL,NULL,NULL,NULL,1,1,0,0,0,0,0,0,0,0,0,0,0,,
6834,"Samata, A. Gregory",NULL,NULL,M,Samata Associates,0,0,0,0,0,0,0,0,0,0,0,0,0,,
6887,"Saunders, Steve",1950,NULL,M,NULL,1,0,0,0,0,0,0,0,1,0,0,0,0,,
6962,"Schnitmann, Sylvia Axelrod",1914,NULL,F,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,,
6968,"Shoenwetter, Frances",1915,1999,NULL,"Co-founder of A.R.C. (Artists, Residents of Chicago); VPA Slide Collection",1,1,0,0,0,0,0,0,0,0,0,0,0,,
7033,"Scott, Tim",NULL,NULL,M,VPA Slide Collection- Bullet Communications,1,1,0,1,1,0,0,0,0,0,0,0,0,,
7082,Seret,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,,
7094,"Seyffert, Leopold Gould",1887,1956,M,NYPL Artist File,0,0,0,0,0,0,0,0,0,0,0,0,0,,
7133,"Shaw, Alfred",1895,1970,M,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,,
7200,"Ballou, Matt",NULL,NULL,NULL,"Gillock Gallery: May 3, 2003",0,0,0,0,0,0,0,0,0,0,0,0,0,,
7227,"Ebbe, Melissa G.",NULL,NULL,F,"Gillock Gallery: May 3, 2003",0,0,0,0,0,0,0,0,0,0,0,0,0,,
7235,"Gilchrist, Shelley",NULL,NULL,F,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,,
7432,Society for Sanity-in-Art,1938,1944,NULL,NULL,1,0,0,0,0,0,0,0,0,0,0,0,0,,
7452,"Somers, Pat",NULL,NULL,NULL,VPA Slide Collection,1,1,0,0,0,0,0,0,0,0,0,0,0,,
7472,"Sostrin, Alice",1926,NULL,F,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,,
7475,"Sourelis, Dian",NULL,NULL,F,"Exhibit Walker Branch March 2014 / Brainforest, Inc.",1,0,0,1,1,1,0,0,0,0,0,1,1,,
7509,"Sperry, Vicci",NULL,NULL,NULL,NULL,1,0,0,0,0,0,0,0,0,0,0,0,0,,
7560,Staara,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,,
7582,"Stein, B. F.",1925,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,,
7727,Sunken City Rises,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,,
7909,"Vincent, Harry Aiken",1864,1931,NULL,World's Columbian Exposition,0,0,0,0,0,0,0,0,0,0,0,0,0,,
7922,"Vognild, Edna (Ted)",1877,1961,F,CENTURY OF PRGRESS (Married to Enoch Vognild),0,0,0,0,0,0,0,0,0,0,0,0,0,,
8070,"Webster, Mary Hortense",1881,NULL,F,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,,
8115,"Weiss, Edward H.",NULL,NULL,M,NULL,1,0,0,1,0,1,0,1,0,1,0,0,0,,
8144,"Wendt, Julia Bracken",1871,NULL,NULL,World's Columbian Exposition,0,0,0,0,0,0,0,0,0,0,0,0,0,,
8145,"Wendt, William",1865,1946,NULL,Born in Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,,
8183,"Wheeler, Milvi",NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,,
8222,"Wilber, Dolores",NULL,NULL,F,See Julie Laffin file; Artemisia Gallery,0,0,0,0,0,0,0,0,0,0,0,0,0,,
8249,"Williams, Charles Warner",1903,NULL,M,Born in Kentucky,0,0,0,0,0,0,0,0,0,0,0,0,0,,
8251,"Williams, Florence White",NULL,1953,F,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,,
8277,"Wilson, Fred C.",NULL,NULL,M,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,,
8329,Wolf,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,,
8353,"Wong, Anita McPherson",NULL,NULL,F,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,,
8368,"Wool, Christopher",1955,NULL,M,NULL,1,0,0,0,0,1,0,1,1,0,0,0,0,,
8495,"Zhou, Da Huang",1957,NULL,M,Born in China; Filed under ZHOU BROTHERS,1,0,0,0,0,0,0,0,0,0,0,0,0,,
8496,"Zhou, Shan-zou",1952,NULL,M,Born in China; Filed under ZHOU BROTHERS,0,0,0,0,0,0,0,0,0,0,0,0,0,,
8500,"Ziegner, M.K.",NULL,NULL,NULL,"Painted mural at Southport Lanes Hall, 332 N. Southport (1922);  May have painted mural Green Mill Cocktail Lounge, 4802 N. Broadway",0,0,0,0,0,0,0,0,0,0,0,0,0,,
8550,The X-Girlfriends,NULL,NULL,NULL,"See Kulov, Dean",1,1,0,0,0,0,0,0,0,0,0,0,0,,
8603,"Tindall, S.M.",NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,,
8691,"Turbin, Bita (Bita Plotner Turbin)",NULL,NULL,NULL,VPA Slide Collection,1,1,0,0,0,0,0,0,0,0,0,0,0,,
8765,"Valicenti, Rick",NULL,NULL,M,founder of Thirst / Business As Usual,0,0,0,0,0,0,0,0,0,0,0,0,0,,
8816,"Vepstas (Vepstiene), Henrieta",1933,NULL,F,"Born in Siauliai, Lithuania. Female.",0,0,0,0,0,0,0,0,0,0,0,0,0,,
8855,"Bartyzel, Mary Ellen",NULL,NULL,NULL,see see Fine Arts Building,0,0,0,0,0,0,0,0,0,0,0,0,0,,
8866,"Auwaerter, Carrie",NULL,NULL,F,see Real People Exhibit file,0,0,0,0,0,0,0,0,0,0,0,0,0,,
8880,Real People Exhibit,NULL,NULL,NULL,have postcard; multiple artists,1,0,0,0,0,0,0,0,0,0,0,0,0,,
9138,"Day, Leah Missbach",NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,,
9234,"Boyd, Katharine",NULL,NULL,F,NULL,1,0,1,0,0,0,0,0,0,0,0,0,0,,
9247,"Weaver, Cheryl",NULL,11/13/05,F,See Anders Nilsen file,0,0,0,0,0,0,0,0,0,0,0,0,0,,
9262,"Koehneman, Renard",1908,1999,M,"Entire career devoted to ecclesiastical  objects: wedding rings, chalices, and patens",0,0,0,0,0,0,0,0,0,0,0,0,0,,
9332,"David, Robert",NULL,NULL,M,NULL,1,0,0,0,0,0,0,0,0,0,0,0,0,,
9389,"Hand, Art",NULL,NULL,M,see Janette Maley,0,0,0,0,0,0,0,0,0,0,0,0,0,,
9483,Chicago Artists Equity Association,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,,
9485,"Goodwin, Richard La Barre",1840,1910,M,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,,
9487,"Seyffert, Helen Fleck",1887,1947,F,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,,
9491,"Varin, Raoul",NULL,NULL,M,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,,
9493,"Fredericks, Ernest",NULL,NULL,M,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,,
9494,"Oehler, Helen Gaspen",NULL,NULL,F,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,,
9557,"Regan, Michael",NULL,NULL,M,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,,
9658,"Pihlblad, Janet",NULL,NULL,F,NULL,1,0,0,0,0,0,0,0,0,0,0,0,0,,
9674,"Ischar, Doug",NULL,NULL,M,NULL,1,0,0,0,0,1,0,1,1,0,0,0,0,,
9687,"Swol, Carol-Lynn",NULL,NULL,F,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,,
9695,Onsmith,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,,
9738,"Abrams, Richard",NULL,NULL,M,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,,
9810,"Buckley, Rickia",NULL,NULL,F,"ARC Gallery: February 1-26, 1994",0,0,0,0,0,0,0,0,0,0,0,0,0,,
9811,"Cobbins, Komeko",NULL,NULL,F,"ARC Gallery: February 1-26, 1994",1,0,0,0,0,0,0,0,0,0,0,0,0,,
9812,"Corey, Khalilah",NULL,NULL,F,"ARC Gallery: February 1-26, 1994",1,0,0,0,0,0,0,0,0,0,0,0,0,,
