Call_Number,Title,Last_Name,First_Name,Year
"N6487.C52M87 1967","Pictures to be read/poetry to be seen : an exhibition","","","1967"
"N6487.C52M875 1984","Selections from the permanent collection","Museum of Contemporary Art","","1984"
"N6487.C52M8755 2002","Life, death, love, hate, pleasure, pain : selected works from the Museum of Contemporary Art, Chicago, collection","","","2002"
"N6487.C52U37 1999","But Yet The Body is his Book: Recent Students of Herbert George","","","1999"
"N6487.C52U554 1989","Georg Herold, Albert Oehlen, Christopher Wool : the Renaissance Society at the University of Chicago, March 12-April 23, 1989","","","1989"
"N6487.R36A76 1989","Armor","","","1989"
"N6487.S56S56","Juried Exhibition: Sioux City Art Center","","","2001"
"N6490.C6563","The roots & routes of art in the 20th century","Cone","Michèle","1975"
"N6490.C6567 1989","Contemporary artists","","","1989"
"N6490.F28","Famous artists annual","","",""
"N6490.K78","Break-up: the core of modern art","Kuh","Katharine","1965"
"N6490.L77813 1977","Art now : from abstract expressionism to superrealism","Lucie-Smith","Edward","1977"
"N6490.P46 1977","Phaidon dictionary of twentieth century art","","","1977"
"N6490.R62 2000","Rockford-Midwestern: artists of the new millennium","Rockford Art Museum","","2000"
"N6494.A2Y62 1990z","How to understand and appreciate abstract and non-objective works of art","Yochim","Louise Dunn","1990"
"N6494.L3N48 1984","New light : a national exhibit of holographic artworks : the Chicago Public Library Cultural Center, Randolph Gallery, first floor, July 21-August 25,","","","1984"
"N6494.O87F67 2010","Florida Outdoor Sculpture Competition","","","2010"
"N6494.O87F67 2011","Florida Outdoor Sculpture Competition","","","2011"
"N6494.V53B5 1989","Lyn Blumenthal, force of vision : video exhibition, LACE, Los Angeles Contemporary Exhibitions, June 13-July 9, 1989","Blumenthal","Lyn","1989"
"N6496.N49P76 2008","Prospect .1 New Orleans: November 1, 2008 - January 18, 2009","","","2008"
"N6498.C65M37 2010","Masters: Collage: Major Works By Leading Artists","","","2010"
"N6505.S3","The American artist and his times","Saint-Gaudens","Homer","1941"
"N6505.T37","America as art","Taylor","Joshua C.","1976"
"N6505.T54","Art America","Tighe","Mary Ann","1977"
"N6505.V56 1990","Visions : expressions beyond the mainstream from Chicago collections","","","1990"
"N6510.F34 1990","Annual Exhibition record of the Art Institute of Chicago, 1888-1950","Falk","Peter H.","1990"
"N6510.R48 1993","Revisiting the white city American art at the 1893 World's Fair","Carr","Carolyn Kinder","1993"
"N6512.5.A2K53 1992","Margeaux Klein : the only witness","Klein","Margeaux","1992"
"N6512.5.C55 B654 2007","Bold Saboteurs: Collage & Construction in Chicago","","","2007"
"N6512.5.C55I5","Collages by American artists","Ball State University","","1971"
"N6512.5.F5M334 1996","Ethereal visions : a collection of figurative, conceptually symbolic artists : Gaynell Fellmeth, J.D. Lasson, Alfredo Martines, Rondon Newnum, Jurek P","Macaluso","Nicole Aim","1996"
"N6512.5.F68A4 1990","Altered states : Hyde Park Art Center, April 15 through May 26, 1990 : Don Baum ... [et al.]","","","1990"
"N6512.5.F68C64 1994","Common uncommon : [exhibition] Patrick Collier ... [et al.] : July 9 to Aug. 22, 1994, Gahlberg Gallery, Arts Center, College of DuPage","","","1994"
"N6512.5.F68O2 1987","The object transformed : three artists from Chicago : David Kargl, Dan Mills, Elizabeth Newman","","","1987"
"N6512.7.A46 2004 v. 1 bk 2","American Art Collector: Juried Competition of New Work, Central States","","","2004"
"N6512.A67 2001","Artists Alumni: Organized by the Department of Art Theory and Practice and the Mary and Leigh Block Museum of Art","","","2001"
"N6512.A69 1980","Art book 2","","","1980"
"N6512.A7","Art in federal buildings : an illustrated record of the Treasury department's new program in painting and sculpture","","",""
"N6512.A72 1993","ARC 1973-1993 : ARC Gallery 20th anniversary exhibition and catalogue, August 31-September 25, 1993","ARC Gallery [Chicago]","","1993"
"N6512.A95a v. 10","Awards in the Visual Arts 10","Awards in the Visual Arts","","1991"
"N6512.A95a v. 5","Awards in the Visual Arts 5 : an exhibition of works by recipients of the Fifth Annual Awards in the Visual Arts","Awards in the Visual Arts","","1987"
"N6512.A95a v. 7","Awards in the Visual Arts 7 : an exhibition of works by recipients of the seventh annual Awards in the Visual Arts","Awards in the Visual Arts","","1988"
"N6512.B273 1987","Sculptors on paper : new work, December 5, 1987-January 31, 1988","Barilleaux","René Paul","1987"
"N6512.B69 1985","The art of Playboy","Bradbury","Ray","1985"
"N6512.C47 1997","The Chicago-Indiana connection : examining artistic inter-relationships between Northwest Indiana and Chicago","","","1997"
"N6512.C4A4 1989","Present at the Creation","","","1989"
"N6512.C854 1988","Dictionary of contemporary American artists / Paul Cummings","Cummings","Paul","1988"
"N6512.D42 1994","Desire in time : time as intimacy : UWM Art Museum, 13 February-27 March, 1994","","","1994"
"N6512.E42 1989","Elemental : magic and metaphor","","","1989"
"N6512.E42 1991","Embodiment","","","1991"
"N6512.E45 1987","Encyclopedia of living artists in America : a visual guide to current art in America","","","1987"
"N6512.F26 1985","Who was who in American art : compiled from the original thirty-four volumes of American art annual …","Falk","Peter H.","1985"
"N6512.F5 W49 2014","What Nerve! Alternative Figures in American Art, 1960 to the Present","Nadel","Dan","2014"
"N6512.F68 1910-1911","Year book","Friends of American Art","",""
"N6512.G4","Venice 34. The figurative tradition in recent American art","Geske","Norman A.","1968"
"N6512.G73 1992","At home with the collection : three projects for the Lakeview Museum : At home with the collection, Lakeview questionnaire, Four objects from the coll","Grennan","Simon","1992"
"N6512.G745 1999","The Grotesqueness of desire","","","1999"
"N6512.L36 1989","Landscapes/mindscapes","","","1989"
"N6512.M27 1989","Making their mark : women artists move into the mainstream, 1970-85","","","1989"
"N6512.N34","New in the seventies : [exhibition] August 21-September 25, 1977, Archer M. Huntington Gallery, University Art Museum, the University of Texas at Aust","","","1977"
"N6512.N34324 1990","New generations","","","1990"
"N6512.N4","American realists and magic realists","Museum of Modern Art","","1943"
"N6512.N415","Americans, 1942; 18 artists from 9 states","Museum of Modern Art","","1942"
"N6512.N48D5","Dimensions variable : James O. Clark ... [et al.]","The New Museum","","1979"
"N6512.R433 1992","Replay : art that is serious/playful","","","1992"
"N6512.R64","Readings in American art since 1900; a documentary survey","Rose","Barbara","1968"
"N6512.S655 1972","WPA revisited, an exhibit : art works from the permanent collection of University Galleries","Southern Illinois University","","1972"
"N6522.I45 2000","Illusions of Eden : visions of the American Heartland","","","2000"
"N6530.C5R4 1986","Recent art from Chicago : Don Baum . . . [et al.]","","","1986"
"N6530.I4A37 1983","After the great crash : New Deal art in Illinois","","","1983"
"N6530.I4A4","Catalog: Century of Progress exhibition by artists of Illinois","All-Illinois Society of the Fine Arts, Inc.","","1933"
"N6530.I4A4 1989","Rockford invitational : Community College Art Faculty","","",""
"N6530.I4I43 1981","Recent acquisitions : a selection of works acqui","Illinois State Museum","","1981"
"N6530.I4I5","The emergence of modernism in Illinois, 1914-1940","Illinois State Museum","",""
"N6530.I4I52","Illinois artists 76 : a bicentennial invitational exhibition","Illinois State Museum","","1976"
"N6530.I4I55 1999","Illinois Women Artists: The New Millennium","","","1999"
"N6530.I4K5","Naive art in Illinois, 1830-1976 : [exhibition]","Kind","Joshua","1976"
"N6530.I4S34 1995","A guide to art at the University of Illinois : Urbana-Champaign, Robert Allerton Park, and Chicago","Scheinman","Muriel","1995"
"N6530.I4S73","Biographical dictionary of painters and sculptors in Illinois","Sparks","Esther","1971"
"N6530.I5A78","Artists of Illinois","","",""
"N6530.I6 A4 2004","61st Annual Salon Show","Northern Indiana Arts Association","","2004"
"N6530.I6 A4 2005","62nd Annual Salon Show","Northern Indiana Arts Association","","2005"
"N6535.A88A8 1994","Area invitational art exhibition at Aurora University, April 8-9,1994, Aurora University, Aurora, Illinois","Aurora University","","1994"
"N6535.C4A34","Catalogue of an exhibition of works by Chicago artists","Art Institute of Chicago","","1898"
"N6535.C4C53","Art for the public by Chicago artists of the Fed","Art Institute of Chicago","",""
"N6535.C4N3 1976","The members of N.A.M.E. have agreed to show together : [exhibition] Chicago, New York, 1976","N.A.M.E. Gallery","","1976"
"N6535.C5 C45 2003","Chicago Art Open 2003","","","2003"
"N6535.C5 R46 2011","Re:Collections : collections and archives as creative practice","Columbia College Chicago","","2011"
"N6535.C54C54","Chicago alternative","","","1979"
"N6535.C5A17 1962","12 Chicago artists : September 23 through October 21, 1962","","","1962"
"N6535.C5A37 1985","Sight out of mind : essays and criticism on art","Adrian","Dennis","1985"
"N6535.C5A59 1987","Anxious objects : Janet Carkeek, Jeanne Dunning, Gregory Green, Mitchell Kane, Hirsch Perlman, Vincent Shine, Tony Tasset","","","1987"
"N6535.C5A72 1986","A.R.C. members exhibition : on tour : exhibition","ARC Gallery (Chicago","",""
"N6535.C5A76 1987","Art/work : an exhibition of artists employed by not-for-profit arts organizations","","","1987"
"N6535.C5C36 1999","Capturing sunlight : the art of Tree Studios : Chicago Department of Cultural Affairs, Chicago Cultural Center, June 18 through September 26, 1999","","","1999"
"N6535.C5C37 1991","Spirited visions : portraits of Chicago artists","Carroll","Patty","1991"
"N6535.C5C45 1998","Chicago Art Open 1998","","",""
"N6535.C5C45 1999","Chicago Art Open 1999","","","1999"
"N6535.C5C45 2000","Chicago Art Open 2000","","","2000"
"N6535.C5C45 2001","Chicago Art Open 2001","","","2001"
"N6535.C5C45 2002","Chicago Art Open 2002","","","2002"
"N6535.C5C45 2003","Chicago Art Open 2003","","",""
"N6535.C5C45 2004","Chicago Art Open 2004","","","2004"
"N6535.C5C467 1989","The Chicago art review : an illustrated survey of the city's museums, galleries, and leading artists","Krantz","Les","1989"
"N6535.C5C47 1979","Chicago art review 2d ed., rev.","Krantz","Leslie J.","1979"
"N6535.C5C47 1981","Chicago Art Review","Kranz","Les","1981"
"N6535.C5C473 1990","Chicago guide to galleries. Wicker Park/Bucktown gallery district","","","1990"
"N6535.C5C474","Chicago imagist art : [exhibition] May 13 to June 25, 1972  / Museum of Contemporary Art, Chicago, Illinois","","","1985"
"N6535.C5C474 1983","Chicago artists, continuity and change.","","","1983"
"N6535.C5C475","Chicago Artists' Month: Calendar of Events","","","SER"
"N6535.C5C476 2004","Chicago Modern, 1893-1945, Pursuit of the New","","","2004"
"N6535.C5C478 1978","Chicago, self-portraits : Nancy Lurie Gallery, Chicago, March 31-May 6, 1978","","","1978"
"N6535.C5C48 1983","Chicago--some other traditions","","","1983"
"N6535.C5C49 1989","A voice in the matter","Chicago Women's Caucus","","1989"
"N6535.C5C66 1984","Contemporary Art Workshop","Contemporary Art Workshop","","1984"
"N6535.C5C69 2007","Art In Chicago: Resisting Regionalism…","Cozzolino","Robert","2007"
"N6535.C5C76 1976","West coast '76, the Chicago connection : 1976 invitational exhibition / Crocker Art Gallery Association and E. B. Crocker Art Gallery","Crocker Art Gallery Association","","1976"
"N6535.C5D484 1988","The Developing Image: Continuity and Change in a Chicago Artistic Tradition","Klekner","Len","1988"
"N6535.C5M3","Masterpieces of recent Chicago art","Chicago Public Library Cultural Center","","1977"
"N6535.C5M32","Made in Chicago","","","1974"
"N6535.C5M55","Chicago, the city and its artists 1945-1978 : the University of Michigan Museum of Art, March 17-April 23, 1978","University of Michigan Museum of Art","","1978"
"N6535.C5M8","Abstract art in Chicago : March 6 to April 25, 1976","Museum of Contemporary Art, Chicago, Illinois","","1976"
"N6535.C5O43 1990","The Old guard and the avant-garde : modernism in Chicago, 1910-1940 / edited by Sue Ann Prince","","","1990"
"N6535.C5P38 1994","Reclamation and transformation : three self-taught Chicago artists : David Philpot, Mr. Imagination, Kevin Orth","Patterson","Tom","1994"
"N6535.C5P47 1988","Persuasive views : Leslie Bellavance, Eleftheira Lialios, Silvia Malagrino : [exhibition","","","1988"
"N6535.C5R4 2011","Re: Chicago","","","2011"
"N6535.C5S3","Fantastic images; Chicago art since 1945","Schulze","Franz","1972"
"N6535.C5S858 2000","Art Scene Chicago 2000","Sundell","Ivy","2000"
"N6535.C5S86 1998","Chicago Art Scene","Sundell","Ivy","1998"
"N6535.C5W4","Who Chicago? : an exhibition of contemporary imagists / exhibition selected by Tony Knipe, Peter Davies","","","1980"
"N6535.C5W58 2008","With Love From Haha: essays and notes on a collective art practice","Jacob","Wendy","2008"
"N6536.C523 1980","Women artists in America : 18th century to the present (1790-1980)","Collins","Jim","1980"
"N6536.C8 1971","A dictionary of contemporary American artists","Cummings","Paul","1971"
"N6536.C8 1982","A dictionary of contemporary American artists","Cummings","Paul","1982"
"N6536.D38","Artists of the American West : a biographical dictionary","Dawdy","Doris Ostrander","1974"
"N6536.F5 1986","Mantle Fielding's dictionary of American painters, sculptors & engravers / edited by Glenn B. Opitz","Fielding","Mantle","1986"
"N6536.M6 1924","Biographical sketches of American artists","Michigan State Library","","1924"
"N6536.T9 1966","Book of the artists","Tuckerman","Henry T.","1966"
"N6536.W56 1999","Who was who in American art 1564-1975 : 400 years of artists in America","","","1999"
"N6537.5.P47 1990","Perceptions of \"the Other\" : exploring cultural diversity, April 6-28, 1990","","","1990"
"N6537.A286I44 1983","Gertrude Abercrombie and friends","Illinois State Museum","","1983"
"N6537.A437A4 1997","Ivan Albright","Donnell","Courtney Graham","1997"
"N6537.A4675A4 1983","Edith Altman : October 7 to October 28, 1983","Altman","Edith","1983"
"N6537.A4675A4 1989","Edith Altman : photography, text, object : solo series, 1989 / organized by Joseph S. Mella","Altman","Edith","1989"
"N6537.A4675A4 2003","Edith Altman : Retrospektive","","","2003"
"N6537.B66A4 1999","Harry Bouras : at Elmhurst Art Museum, March 9-May 9, 1999","Bouras","Harry","1999"
"N6537.B794A4 1987","Roger Brown / Sidney Lawrence ; with an essay by John Yau","Sidney","Lawrence","1987"
"N6537.B794A4 1998","Hidden aspects : a selection of works on paper and other materials from the Roger Brown study collection of the School of the Art Institute of Chicago","","","1998"
"N6537.C3448A4 1993","Rodney Carswell, selected works, 1975-1993 : The Renaissance Society at the University of Chicago, March 7-April 18, 1993","Carswell","Rodney","1993"
"N6537.C35L48 1984","	The art of Elizabeth Catlett","Lewis","Samella","1984"
"N6537.C374A4 1972","Elizabeth Catlett : prints and sculpture, [exhibition] September 26, 1971-January 9, 1972, [Studio Museum in Harlem]","Catlett","Elizabeth","1972"
"N6537.C37A4 1993","Elizabeth Catlett : works on paper, 1944-1992 / essays by Samella S. Lewis, Richard J. Powell ; edited by Jeanne Zeidler","Catlett","Elizabeth","1993"
"N6537.C48A2 1982","Through the flower : my struggle as a woman artist","Chicago","Judy","1982"
"N6537.C48A2 1996","Beyond the flower : the autobiography of a feminist artist","Chicago","Judy","1996"
"N6537.C48A4 1985","The birth project","Chicago","Judy","1985"
"N6537.C48A4 1993","Holocaust project : from darkness into light","Chicago","Judy","1993"
"N6537.C48A4 1999","Judy Chicago : trials and tributes","Thompson","Viki D.","1999"
"N6537.c48L48 2007","Becoming Judy Chicago : a biography of the artist","Levin","Gail","2007"
"N6537.C48L83 2000","Judy Chicago : an American vision","Lucie-Smith","Edward","2000"
"N6537.C595A4 1996","Warrington Colescott / [organized by the Milwaukee Art Museum ; curated by Margaret Andera ; essay by Pat Gilmour]","Colescott","Warrington","1996"
"N6537.D85F37 1988","Farm : 1989 calendar","Dunning","Jeanne","1988"
"N6537.D8A4 1990","Ruth Duckworth and Martyl : paintings, drawings, and sculpture / organized by Debora Duez Donato","","","1990"
"N6537.F52A4 1998","Dirty boulevard / Tony Fitzpatrick ; text by Lou Reed and Mickey Cartin","Fitzpatrick","Tony","1998"
"N6537.F52A4 2001","Bum town","Fitzpatrick","Tony","2001"
"N6537.F52A4 2005","The wonder","Fitzpatrick","Tony","2005"
"N6537.F677A4 1999","Told and retold : an inquiry about hair : a collaborative installation","Forster","A. B.","1999"
"N6537.F69M67 1985","R. Atkinson Fox : his life and work","Mortenson","Rita C.","1985"
"N6537.G36A4 1988","Meet Carmelo : a picture portrait of a blind artist / Carmelo and Mavis Gannello","Gannello","Carmelo","1988"
"N6537.G632A4 1982","Profile : Leon Golub","Golub","Leon","1982"
"N6537.G715A4 1990","The body : Simon Grennan, Christopher Sperandio, June 1-30, 1990","Grennan","Simon","1990"
"N6537.G84A4 2001","Robert Guinan : peintures et dessins","Guinan","Robert","2001"
"N6537.G84M3 1991","Robert Guinan","Maistre","Agnès de","1991"
"N6537.H396A4 1998","Arturo Herrera : January 11-February 22, 1998","Herrera Bautista","Arturo","1998"
"N6537.H397A4 2005","Arturo Herrera : 7 Abril-19 Xuño de 2005 / [essays by Friedrich Meschede and Ingrid Schaffner]","Herrera","Arturo","2005"
"N6537.K274A4 1985","Thomas H. Kapsalis : May 3-June 1, 1985","Kapsalis","Thomas H.","1985"
"N6537.K68A4 1999","Linda Kramer, retrospective","Kramer","Linda","1999"
"N6537.K726A4","Krehbiel, life and works of an American artist / introduction by Robert Guinan","Krehbiel","Albert Henry","1991"
"N6537.L364A4 1987","Strange games : a twenty-five year retrospective","Lanyon","Ellen","1987"
"N6537.L364A4 1999","Ellen Lanyon : transformations, selected works from 1971-1999 / with an essay by Debra Bricker Balken","Lanyon","Ellen","1999"
"N6537.L365A4 1983","Ellen Lanyon, May 13-June 25, 1983, N.A.M.E. Gallery, Chicago","Lanyon","Ellen","1983"
"N6537.L3747A4 1992","Meaningless gesture : an exhibition of paintings & drawings","Lash","Mike","1992"
"N6537.L397A9 1989","The Art of Tom Lea / compiled by Kathleen G. Hjerter ; with an introduction by William Weber Johnson","Lea","Tom","1989"
"N6537.M2463A4 1995","Flux : stations of time : the collective works of Nicole Aimiee Macaluso","Macaluso","Nicole Aimiee","1995"
"N6537.M378A4 1998","Kerry James Marshall, Mementos / [edited by Hamza Walker]","Marshall","Kery James","1998"
"N6537.M379A4 2003","One true thing : meditations on Black aesthetics","Marshall","Kery James","2003"
"N6537.M396A4 1975","Everett McNear : painter, designer, collector : Art Gallery, University of Notre Dame, O'Shaughnessy Hall, September 27-November 9, 1975","McNear","Everett","1976"
"N6537.N39A4 1994","An American in Paris = Un américain à Paris","Neiman","LeRoy","1994"
"N6537.N39A42","Art & lifestyle","Neiman","LeRoy","1974"
"N6537.N39M5","LeRoy Neiman retrospective exhibition : paintings, drawings, watercolors, prints, 1949-1975","Neiman","LeRoy","1975"
"N6537.O8A4 1977","Golden Gate collection : George Demont Otis, 1879-1962, American impressionist, painter of America","Otis","George Demont","1997"
"N6537.P24A4 1990","Define/defy the frame : an unfolding exhibition","Parada","Esther","1990"
"N6537.P56A4 1998","Consciousness defined : an installation art work","Plioplys","Audrius","1998"
"N6537.P56A4 2000","Neurotheology from Christ to Cajal","Plioplys","Audrius","2000"
"N6537.P58A4 1983","Henry Varnum Poor, 1887-1970 : a retrosective exhibition","Dickson","Harold E.","1983"
"N6537.P786A4 1985","Claire Prussian : a survey of paintings and works on paper 1965-1985","Prussian","Claire","1985"
"N6537.P786A4 1995","Claire Prussian : survey","Prussian","Claire","1995"
"N6537.R59A4 1991","Rossi : Barbara Rossi selected works, 1967-1990","Rossi","Barbara","1991"
"N6537.R6A4 1974","Roszak : lithographs and drawings, 1971-1974 : [exhibition] December 1974, Pierre Matisse Gallery","Roszak","Theodore","1974"
"N6537.R6W3","Theodore Roszak","Arnason","H. H.","1956"
"N6537.S29I3 1996","Icons of American Protestantism : the art of Warner Sallman / edited by David Morgan","","","1996"
"N6537.S348A4 1996","Lincoln Schatz : sculpture + drawings + prints / essay by Achille Bonito Oliva","Schatz","Lincoln","1996"
